,Unnamed: 0,title,genre,rating,views,year,duration
217,16138,The Killers,Crime,7.7,25608,1946,103
218,16190,A Matter of Life and Death,Drama,8.0,27443,1946,104
219,16209,My Darling Clementine,Drama,7.7,27995,1946,97
220,16230,Notorious,Drama,7.9,112867,1946,102
221,16255,Paisan,Drama,7.6,10482,1946,120
222,16276,The Postman Always Rings Twice,Crime,7.4,24508,1946,113
223,16302,"Rome, Open City",Drama,8.0,33533,1945,103
224,16359,Song of the South,Animation,6.9,16277,1946,94
225,16365,The Spiral Staircase,Drama,7.3,12280,1946,83
226,16375,The Strange Love of Martha Ivers,Drama,7.4,12006,1946,116
227,16378,The Stranger,Crime,7.3,30452,1946,95
228,16496,The Bachelor and the Bobby-Soxer,Comedy,7.2,10230,1947,95
229,16511,The Bishop's Wife,Comedy,7.6,23568,1947,109
230,16513,Black Narcissus,Drama,7.7,30740,1947,101
231,16540,Brute Force,Crime,7.5,12575,1947,98
232,16583,Crossfire,Crime,7.2,10700,1947,86
233,16597,Dark Passage,Drama,7.5,23662,1947,106
234,16671,Fun and Fancy Free,Adventure,6.3,10352,1947,73
235,16680,Gentleman's Agreement,Drama,7.2,18908,1947,118
236,16681,Germany Year Zero,Drama,7.8,15024,1948,78
237,16684,The Ghost and Mrs. Muir,Comedy,7.8,22237,1947,104
238,16767,Kiss of Death,Crime,7.4,10401,1947,99
239,16835,Miracle on 34th Street,Comedy,7.9,60493,1947,96
240,16837,Monsieur Verdoux,Comedy,7.8,20350,1947,124
241,16860,Nightmare Alley,Drama,7.7,14338,1947,110
242,16871,Odd Man Out,Crime,7.6,12768,1947,116
243,16878,Out of the Past,Crime,8.0,43735,1947,97
244,16882,The Paradine Case,Crime,6.5,13254,1947,125
245,17117,3 Godfathers,Drama,7.0,11473,1948,106
246,17120,Abbott and Costello Meet Frankenstein,Comedy,7.3,21406,1948,83
247,17179,The Big Clock,Crime,7.6,10728,1948,95
248,17210,Call Northside 777,Drama,7.4,11306,1948,112
249,17278,Easter Parade,Musical,7.3,11852,1948,103
250,17298,The Fallen Idol,Drama,7.6,10596,1948,95
251,17325,Fort Apache,Drama,7.4,21119,1948,128
252,17358,Hamlet,Drama,7.5,19604,1948,154
253,17425,Key Largo,Action,7.7,46541,1948,100
254,17436,Bicycle Thieves,Drama,8.2,190509,1948,89
255,17438,The Lady from Shanghai,Crime,7.5,36160,1947,87
256,17447,Letter from an Unknown Woman,Drama,7.8,14676,1948,87
257,17499,Mr. Blandings Builds His Dream House,Comedy,7.2,13575,1948,94
258,17516,The Naked City,Crime,7.5,16716,1948,96
259,17531,Oliver Twist,Drama,7.8,14721,1948,105
260,17571,Red River,Drama,7.7,37330,1948,133
261,17572,The Red Shoes,Drama,8.1,42710,1948,135
262,17588,Rope,Crime,7.9,163371,1948,80
263,17647,"Sorry, Wrong Number",Drama,7.3,13783,1948,89
264,17686,They Live by Night,Crime,7.4,10212,1948,95
265,17704,The Treasure of the Sierra Madre,Adventure,8.2,140063,1948,126
266,17761,Drunken Angel,Crime,7.6,14464,1948,102
267,17774,Adam's Rib,Comedy,7.4,24241,1949,101
268,17778,The Adventures of Ichabod and Mr. Toad,Animation,6.8,19856,1949,68
269,17795,All the King's Men,Drama,7.4,17921,1949,110
270,17828,Late Spring,Comedy,8.2,21155,1949,110
271,17914,Criss Cross,Crime,7.4,10449,1949,84
272,17995,The Fountainhead,Drama,7.0,11654,1949,114
273,18041,The Heiress,Drama,8.1,18675,1949,115
274,18108,Kind Hearts and Coronets,Comedy,8.0,41524,1949,106
275,18137,A Letter to Three Wives,Comedy,7.7,11550,1949,103
276,18227,Stray Dog,Crime,7.8,20483,1949,122
277,18238,On the Town,Comedy,7.3,19731,1949,98
278,18240,Orpheus,Drama,7.8,14347,1950,112
279,18331,Sands of Iwo Jima,Action,7.0,12179,1949,100
280,18342,The Set-Up,Action,7.8,11011,1949,73
281,18348,She Wore a Yellow Ribbon,Drama,7.2,20577,1949,104
282,18419,The Third Man,Drama,8.1,193337,1949,104
283,18443,Twelve O'Clock High,Drama,7.7,16631,1949,132
284,18474,White Heat,Action,8.1,37981,1949,114
285,18508,All About Eve,Drama,8.2,147734,1950,138
286,18521,The Asphalt Jungle,Crime,7.8,32360,1950,112
287,18580,Born Yesterday,Comedy,7.5,13436,1950,103
288,18589,Broken Arrow,Drama,7.1,10589,1950,93
289,18626,Cinderella,Animation,7.3,184862,1950,74
290,18656,D.O.A.,Crime,7.2,13951,1949,83
291,18722,Father of the Bride,Comedy,7.1,13358,1950,92
292,18780,Gun Crazy,Crime,7.6,16377,1950,87
293,18781,The Gunfighter,Western,7.7,14072,1950,85
294,18791,Harvey,Comedy,7.9,60503,1950,104
295,18822,In a Lonely Place,Drama,7.9,38572,1950,94
296,18842,Diary of a Country Priest,Drama,7.7,13508,1951,95
297,18968,Night and the City,Crime,7.8,16331,1950,96
298,18981,The Young and the Damned,Crime,8.2,23397,1950,80
299,19032,Rashomon,Crime,8.1,194137,1950,88
300,19045,Rio Grande,Drama,7.0,19122,1950,105
301,19111,Stage Fright,Film-Noir,7.0,17557,1950,111
302,19124,Sunset Boulevard,Drama,8.4,258116,1950,110
303,19169,Treasure Island,Adventure,6.9,10477,1950,96
304,19219,Where the Sidewalk Ends,Crime,7.5,10962,1950,95
305,19221,Winchester '73,Action,7.6,23916,1950,92
306,19259,The African Queen,Adventure,7.7,88112,1951,105
307,19268,Alice in Wonderland,Adventure,7.3,164340,1951,75
308,19272,An American in Paris,Drama,7.1,38887,1951,114
